@relation 2.a.ROS

@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
1,9,1,7,7,39.3,0.1,2,0,0,1,1,0,0,2,0,1,0,0,0,19.65,3,0,0,4,0,0,0
1,0,2,8,8,60,0.1,0,0,0,3,0,0,1,2.5,0,0,0,0,0,24,3,0,0,5,1,0,0
1,0,1,6,6,15.51,0.1,0,0,0,1,0,1,0,1,0,0,0,0,0,15.51,4,0,0,2,0,0,0
13,2,28,225,47,35764.61,0.42,2,6,0,38,2,2,1,28.62,3,0,0,0,11,1249.78,101,35,8,124,53,2,1
1,1,1,7,7,29.48,0.1,1,0,0,2,1,1,1,1.5,0,0,0,0,0,19.65,4,0,0,3,0,0,1
1,4,1,7,7,29.48,0.1,0,0,0,2,2,1,1,1.5,0,0,0,0,0,19.65,4,0,0,3,0,0,0
2,3,9,87,27,6784.27,0.14,2,1,1,19,3,1,1,16.4,1,0,0,0,2,413.68,41,17,1,46,13,0,1
1,1,4,20,12,230.46,0.2,0,0,2,5,1,0,1,3.21,0,0,0,0,0,71.7,9,2,0,11,2,0,1
6,7,8,90,27,9896.11,0.14,0,0,1,14,2,1,2,23.12,0,0,0,0,1,427.94,37,11,1,53,13,0,0
1,0,2,24,15,531.34,0.3,2,0,1,3,0,4,1,5.67,0,0,0,0,0,93.77,17,5,0,7,6,0,0
2,6,5,39,21,1092.4,0.6,2,2,1,7,1,2,1,6.38,0,0,0,0,2,171.3,17,5,1,22,5,0,1
20,18,63,491,77,171768.56,1.3,3,5,2,75,15,0,1,55.82,13,0,0,1,20,3076.99,219,85,7,272,72,3,1
1,6,6,40,21,1189.3,0.6,2,1,1,7,1,2,1,6.77,1,0,0,0,0,175.69,22,9,0,18,7,0,0
79,22,239,1378,180,427245.4,3.44,1,0,7,369,22,1,1,41.38,3,0,0,0,40,10323.77,538,354,3,840,300,0,1
29,12,82,615,77,230637.76,1.28,7,12,0,86,10,2,1,59.84,20,0,0,4,24,3854.7,281,102,5,334,95,9,0
1,3,2,12,11,121.8,0.1,0,0,0,3,1,1,0,2.92,0,0,0,0,0,41.51,7,2,0,5,2,0,0
1,1,2,22,16,440,0.3,1,1,1,3,1,0,1,5,0,0,0,0,0,88,10,3,0,12,4,0,0
11,18,37,259,80,36668.68,0.55,4,18,0,48,12,3,1,22.39,4,0,0,1,14,1637.38,111,52,4,148,46,1,1
