@relation 2.b.RUS

@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
2,4,5,31,17,552.92,0.4,1,2,1,7,2,1,0,4.36,1,0,0,0,1,126.71,16,4,1,15,6,0,0
10,2,6,131,41,12957.3,0.23,3,1,1,13,2,2,1,18.46,2,0,0,2,0,701.84,64,31,0,67,22,0,0
1,0,2,35,24,1154.18,0.5,2,2,1,5,0,1,1,7.19,0,0,0,0,0,160.47,17,3,0,18,6,0,0
1,1,1,7,7,29.48,0.1,1,0,0,2,1,1,1,1.5,0,0,0,0,0,19.65,4,0,0,3,0,0,0
1,3,9,102,30,3732.1,0.17,5,11,3,12,1,1,0,7.46,1,0,0,2,0,500.5,49,15,0,53,19,0,0
1,3,2,20,16,411.43,0.3,4,2,0,3,1,0,1,5.14,0,1,1,0,0,80,8,1,0,12,4,0,0
1,3,5,36,20,1244.72,0.5,3,2,1,6,1,0,1,8,2,1,0,0,0,155.59,16,5,0,20,6,0,0
1,4,2,12,10,149.49,0.1,2,0,1,3,1,0,1,3.75,0,1,0,0,0,39.86,5,0,0,7,2,0,0
5,2,11,86,33,7411.6,0.14,1,4,0,11,2,2,1,17.8,0,0,0,0,2,433.82,41,12,2,45,16,1,0
1,6,1,5,5,17.41,0,1,0,0,1,1,0,1,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
1,13,1,11,8,59.4,0.1,1,0,0,1,1,2,0,1.8,0,0,0,0,0,33,6,0,0,5,0,0,0
5,1,11,97,46,6752.74,0.18,2,2,2,17,1,1,2,12.6,1,0,0,0,1,535.79,43,24,1,54,16,0,0
1,5,2,28,17,610.39,0.4,1,3,0,3,2,1,1,5.33,0,0,0,0,0,114.45,12,3,0,16,3,0,0
1,0,2,10,10,83.5,0.1,2,0,0,3,0,1,1,2.5,0,0,0,0,0,33.22,5,1,0,5,1,0,0
1,0,2,10,9,126.8,0.1,0,0,0,3,0,0,1,4,0,0,0,0,0,31.7,4,1,0,6,1,0,0
2,3,2,19,16,390.86,0.3,0,0,0,3,1,0,1,5.14,0,0,0,0,0,76,8,2,0,11,3,0,0
1,3,2,10,9,76.8,0.1,1,0,0,3,1,1,0,2.4,0,0,0,0,0,31.7,6,2,0,4,1,0,0
5,26,28,209,70,28209.7,0.43,4,1,2,36,26,0,1,22.2,6,0,0,2,5,1281.2,90,52,4,119,37,0,0
2,4,4,24,15,535.8,0.3,2,0,2,6,2,1,1,5.71,0,0,0,0,1,93.77,10,4,1,14,4,0,0
1,0,3,24,16,374.4,0.3,1,1,2,4,0,2,1,3.9,0,0,0,0,0,96,13,3,0,11,4,0,0
1,4,2,13,11,188.88,0.1,0,0,0,3,1,1,1,4.2,0,0,0,0,0,44.97,7,2,0,6,1,0,0
1,9,1,4,4,8,0,1,0,0,1,1,0,0,1,0,0,0,0,0,8,2,0,0,2,0,0,0
5,6,21,213,44,27668.2,0.39,3,1,1,26,6,1,1,23.79,4,0,0,6,5,1162.86,92,43,3,121,33,1,0
2,0,4,30,18,875.68,0.4,1,0,0,5,0,1,1,7,0,0,0,0,0,125.1,14,4,0,16,4,0,0
1,3,4,31,21,868.3,0.5,5,2,1,5,1,2,1,6.38,1,1,0,0,0,136.16,17,4,0,14,6,0,0
1,15,1,5,5,17.41,0,1,0,0,1,1,0,1,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
