@relation 2.c.SMOTE

@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
1,4.525632,1.710627,10,10,85.576341,0.1,0.823627,0,0,2.689204,0.635887,1.810747,1.960632,2.546897,0,0,0,0,0,33.22,4.227668,0.441056,0,4.373024,0.204766,0,1
1,3,2,12,10,119.59,0.1,1,0,1,3,1,1,1,3,0,0,0,0,0,39.86,6,1,0,6,2,0,0
2,5,6,47,29,1813.92,0.8,6,3,1,8,2,4,1,7.94,1,1,0,0,1,228.33,26,7,1,21,8,0,0
1,0,2,11,11,133.19,0.1,0,0,0,3,0,0,1,3.5,0,0,0,0,0,38.5,4,1,0,7,1,0,0
1,16,2,12,9,118.87,0.1,0,1,1,3,1,0,1,3.12,0,0,0,0,0,38.4,5,0,0,7,1,0,0
1,0,7,54,20,1947.86,0.8,4,0,0,14,0,6,1,8.35,0,0,0,0,0,233.38,31,12,0,23,6,0,0
3.90706,3.52484,9.00631,109.646453,32.16028,5617.665896,0.178283,2.412634,10,2.971758,13.83729,1.234504,1,0.173636,11.631445,0.276932,0,0.85788,0.628941,2.795945,482.663666,37.261836,12.465003,1.727523,56.151655,13.948587,0,1
1,3,2,16,11,290.59,0.2,1,1,1,3,1,0,1,5.25,0,0,0,0,0,55.35,6,0,0,10,2,0,0
1,0,2,12,11,124.54,0.1,1,0,0,3,0,1,1,3,0,0,0,0,0,41.51,5,1,0,7,1,0,0
2,0,4,32,16,691.2,0.4,2,3,0,6,0,2,1,5.4,0,0,0,0,1,128,18,7,1,14,7,0,0
1,0,2,13,10,115.16,0.1,2,0,0,3,0,2,1,2.67,0,0,0,0,0,43.19,8,2,0,5,2,0,0
1,4,2,27,23,521.11,0.4,7,2,0,8,1,4,1,4.27,0,1,1,0,0,122.14,16,1,0,11,4,0,0
8.951991,2,32.641288,188.505785,42.035491,37927.971007,0.363047,2,4.727056,0,37.201464,2,1.58037,1,30.096159,2.340229,0,0,0,8.176924,998.590427,98.614127,35,3.244999,107.076507,34.869345,2.604828,1
1.21666,4.21964,7.798103,62.072022,26.572048,2805.835932,0.115434,3.283072,1.179303,0,10,2.109569,0.15774,1.215555,9.522277,3.947755,0,0,0.397704,0.825788,286.437129,31.139022,9.003898,0.607293,32.221003,11.624534,0,1
4.49021,1.098537,9.071695,99.873937,38.441473,7757.681249,0.178837,3.445699,0.011381,0.041377,12.371589,0.896332,1.74528,1,14.429951,2.917022,0,0,0.763895,1.148992,538.727757,47.913853,16.272805,1,55,15.025196,0.482283,1
2,2,3,38,18,1505.34,0.5,0,1,0,5,1,2,0,9.5,0,0,0,0,0,158.46,19,7,0,19,7,0,0
1,0,1,10,8,40,0.1,0,0,0,4,0,3,0,1.33,0,0,0,0,0,30,8,0,0,2,0,0,0
