@relation eclipse-jhawk-smote

@attribute id numeric
@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
1000,9,5,25,246,63,32054.96,0.49,8,9,1,31,5,0,1,21.8,5,1,2,1,10,1470.41,109,19,4,137,40,1,0
1001,3,0,10,64,33,3449.3,0.11,3,3,0,10,0,1,1,10.68,2,0,0,0,2,322.84,29,5,2,35,9,1,0
1002,1,0,2,13,12,163.12,0.2,1,0,0,3,0,1,1,3.5,0,0,0,0,0,46.6,7,2,0,6,1,0,0
1003,1,0,2,13,12,163.12,0.2,1,0,0,3,0,1,1,3.5,0,0,0,0,0,46.6,7,2,0,6,1,0,0
1004,4,9,15,183,68,16242.2,0.37,13,13,1,20,5,0,1,14.58,7,1,3,1,4,1114.1,81,23,2,102,35,0,1
1005,40,108,116,843,126,215875.1,1.96,13,23,3,162,71,0,1,36.7,12,1,3,3,59,5881.85,347,120,3,496,116,0,1
1006,5,9,18,121,46,10578.38,0.22,5,11,0,20,3,2,1,15.83,4,0,0,0,5,668.35,54,16,2,67,18,1,0
1007,1,1,1,4,4,12,0,0,0,0,2,1,0,1,1.5,0,0,0,0,0,8,1,0,0,3,0,0,0
1008,2,0,4,29,17,1016.3,0.4,2,1,0,7,0,1,2,8.57,0,0,1,0,2,118.54,12,3,1,17,3,0,0
1010,1,1,2,15,12,134.44,0.2,2,0,0,3,1,2,0,2.5,0,0,0,0,0,53.77,10,4,0,5,3,0,0
1012,10,5,21,202,53,34168.84,0.39,2,6,2,28,5,1,0,29.53,6,0,0,1,5,1157.4,90,33,3,112,38,1,0
1013,4,1,5,53,27,2520.9,0.8,1,1,1,8,1,2,0,10,2,0,0,0,0,252.1,25,8,0,28,11,1,0
1014,8,2,17,198,58,25993.21,0.39,6,8,0,24,2,3,1,22.41,8,0,1,0,4,1159.88,92,33,2,106,43,0,0
1015,1,0,2,14,12,175.66,0.2,1,0,1,3,0,1,1,3.5,0,0,0,0,0,50.19,7,1,0,7,2,0,0
1016,1,0,2,14,13,181.32,0.2,1,1,0,3,0,0,1,3.5,0,0,0,0,0,51.81,6,1,0,8,2,0,0
1017,1,1,2,12,12,150.57,0.1,1,0,0,3,1,0,1,3.5,0,0,0,0,0,43.2,5,1,0,7,1,0,0
1018,1,0,2,16,13,203,0.2,3,1,0,3,0,1,1,3.43,0,1,0,0,0,59.21,8,1,0,8,3,0,0
1020,4,2,6,54,30,2898.13,0.9,4,2,0,10,2,3,1,10.94,1,0,1,0,2,264.97,25,5,1,29,10,0,0
1021,5,3,16,138,44,12664.94,0.25,3,5,2,18,3,1,1,16.81,3,0,0,1,2,753.4,65,15,2,73,25,2,0
1022,3,1,5,37,21,1340.75,0.5,1,0,1,9,1,0,1,8.25,0,0,1,0,3,162.52,15,3,2,22,2,0,0
1023,1,1,2,15,13,194.27,0.2,1,0,1,3,1,0,1,3.5,0,0,0,0,0,55.51,6,0,0,9,1,0,0
1024,6,7,15,158,43,17223.55,0.29,2,8,0,21,7,3,1,20.9,2,0,0,0,4,857.35,75,29,2,83,28,0,0
1025,3,3,5,48,27,1734.58,0.8,5,3,0,9,3,0,1,7.6,0,0,1,0,2,228.23,19,5,1,29,8,0,0
1026,1,0,2,11,11,133.19,0.1,0,0,0,3,0,0,1,3.5,0,0,0,0,0,38.5,4,1,0,7,1,0,0
1027,1,0,2,11,11,133.19,0.1,0,0,0,3,0,0,1,3.5,0,0,0,0,0,38.5,4,1,0,7,1,0,0
1028,1,0,2,10,9,95.1,0.1,0,0,0,3,0,0,1,3,0,0,0,0,0,31.7,3,0,0,7,1,0,0
1029,1,1,2,17,14,302.5,0.2,1,1,0,3,1,0,1,4.67,0,0,0,0,0,64.73,7,1,0,10,2,0,0
1030,2,1,5,61,30,2180.76,0.1,4,4,1,7,1,3,1,7.29,0,0,0,0,1,299.32,34,10,1,27,14,0,0
1031,8,0,18,167,50,20411.54,0.31,3,9,1,22,0,3,1,21.66,3,0,0,0,6,942.52,77,25,5,90,30,1,0
1032,11,2,22,230,51,48819.45,0.43,4,6,0,27,2,2,1,37.42,9,0,0,0,4,1304.66,116,45,2,114,47,3,0
1033,8,0,13,142,43,18862.56,0.26,4,5,0,16,0,2,1,24.48,5,0,0,0,3,770.53,68,25,2,74,29,2,0
1035,1,4,2,19,12,291.92,0.2,1,0,0,3,1,3,1,4.29,0,0,0,0,0,68.11,12,3,0,7,4,0,0
1037,2,0,6,34,20,1175.56,0.5,0,0,0,4,0,0,1,8,0,0,0,0,0,146.95,16,0,0,18,4,1,0
1038,2,0,2,28,17,965.66,0.4,2,1,0,5,0,1,1,8.44,0,0,0,0,0,114.45,15,3,0,13,6,0,0
1040,2,0,3,35,21,1187.92,0.5,3,2,0,7,0,2,1,7.73,0,0,0,0,0,153.73,17,4,0,18,9,0,0
1042,1,0,2,19,14,325.53,0.2,4,2,0,3,0,1,1,4.5,0,1,0,0,0,72.34,9,1,0,10,4,0,0
1044,1,0,5,39,19,966.4,0.6,2,2,0,6,0,3,1,5.83,0,0,0,0,0,165.67,20,7,0,19,4,0,1
1045,1,5,2,17,11,411.67,0.2,1,0,1,3,1,1,2,7,0,0,0,1,0,58.81,8,2,0,9,3,0,0
1049,1,3,2,25,16,600,0.3,3,1,1,3,1,1,2,6,0,0,0,0,0,100,12,3,0,13,6,0,0
1051,1,3,2,30,19,648.77,0.4,4,3,0,3,1,1,2,5.9,0,0,0,0,0,127.44,14,3,0,16,6,0,0
1052,2,4,5,50,29,1632.82,0.8,4,4,0,8,2,0,2,6.72,0,0,1,0,2,242.9,22,5,1,28,7,0,0
1053,11,11,35,258,52,62554.35,0.49,3,6,0,45,11,1,2,42.53,7,0,0,0,12,1470.71,116,50,5,142,60,1,0
1055,208,164,558,4877,398,4928486.74,14.4,22,43,8,862,155,1,1,117.1,73,1,6,4,176,42120.82,2217,778,8,2660,973,15,1
1056,5,1,12,116,40,8144.19,0.21,5,4,2,14,1,0,1,13.19,2,0,0,2,2,617.34,49,13,2,67,17,1,0
1057,3,2,9,78,37,4071.84,0.14,6,5,0,12,2,1,1,10.2,3,0,0,0,2,406.34,37,8,2,41,16,0,0
1058,1,3,2,7,7,49.13,0.1,1,1,0,3,1,0,1,2.5,0,0,0,0,0,19.65,2,0,0,5,1,0,0
1060,6,7,19,188,53,24644.46,0.36,7,10,1,23,5,0,1,22.89,7,1,1,1,1,1076.85,89,31,1,99,43,1,0
1061,3,0,12,79,30,6589.95,0.13,2,4,0,12,0,1,1,17,3,0,0,0,2,387.64,34,12,2,45,13,1,0
1063,4,0,11,63,26,5653.35,0.1,1,0,0,12,0,1,1,19.9,2,0,0,0,3,296.13,28,7,3,35,10,1,0
1064,1,4,2,7,7,49.13,0.1,1,1,0,3,2,0,1,2.5,0,0,0,0,0,19.65,2,0,0,5,1,0,0
1067,2,2,4,43,23,1312.96,0.6,3,2,1,6,2,0,1,6.75,1,0,0,1,0,194.51,21,6,0,22,9,0,0
1068,1,3,2,14,12,175.66,0.2,3,2,0,3,1,0,1,3.5,0,0,0,0,0,50.19,5,0,0,9,2,0,0
1069,10,7,36,403,74,90828.2,0.83,10,14,1,61,7,1,1,36.3,11,0,1,2,9,2502.41,196,58,4,207,81,2,1
1070,1,5,10,82,32,2665,0.14,4,4,3,17,3,0,1,6.5,2,1,0,0,0,410,39,11,0,43,12,0,1
1071,12,13,31,336,60,65070.31,0.66,3,3,2,56,13,0,1,32.79,1,0,0,1,16,1984.72,153,24,3,183,54,0,1
1072,1,1,4,36,18,490.77,0.5,2,2,2,5,1,0,1,3.27,0,0,0,0,0,150.12,17,0,0,19,4,0,1
1073,1,1,4,31,15,423.9,0.4,1,1,2,5,1,0,1,3.5,0,0,0,0,0,121.11,14,0,0,17,2,0,1
1074,2,0,5,37,18,1465.73,0.5,1,1,0,7,0,2,1,9.5,0,0,0,0,1,154.29,19,6,1,18,5,0,0
1075,1,0,2,8,8,60,0.1,0,0,0,3,0,0,1,2.5,0,0,0,0,0,24,3,1,0,5,1,0,0
1076,1,0,2,8,8,60,0.1,1,0,0,3,0,0,1,2.5,0,0,0,0,0,24,3,1,0,5,1,0,0
