@relation imbalance-defects-randomized-train

@attribute COMP numeric
@attribute NOCL numeric
@attribute NOS numeric
@attribute HLTH numeric
@attribute HVOC numeric
@attribute HEFF numeric
@attribute HBUG numeric
@attribute CREF numeric
@attribute XMET numeric
@attribute LMET numeric
@attribute NLOC numeric
@attribute NOC numeric
@attribute NOA numeric
@attribute MOD numeric
@attribute HDIF numeric
@attribute VDEC numeric
@attribute EXCT numeric
@attribute EXCR numeric
@attribute CAST numeric
@attribute TDN numeric
@attribute HVOL numeric
@attribute NAND numeric
@attribute VREF numeric
@attribute MDN numeric
@attribute NOPR numeric
@attribute NEXP numeric
@attribute LOOP numeric
@attribute defective {0,1}

@data
1,1,3,20,11,456.64,0.2,0,0,0,4,1,2,1,6.6,0,0,0,0,0,69.19,11,4,0,9,2,0,0
1,3,7,51,23,1221.36,0.8,2,0,0,8,1,5,1,5.29,0,0,0,0,0,230.7,30,10,0,21,7,0,0
1,3,2,8,7,44.92,0.1,0,0,1,3,1,0,0,2,0,0,0,0,0,22.46,3,0,0,5,1,0,0
1,9,2,16,14,284.28,0.2,0,0,0,3,1,1,2,4.67,0,0,0,0,0,60.92,7,2,0,9,2,0,0
1,1,2,10,10,99.66,0.1,1,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
10,10,20,117,40,8046.76,0.21,2,1,0,31,1,3,2,12.92,1,0,0,0,1,622.67,48,27,1,69,21,0,0
2,10,7,43,23,1645.88,0.6,3,1,2,9,1,1,1,8.46,1,0,1,0,1,194.51,22,10,1,21,10,0,0
1,0,2,10,10,99.66,0.1,0,0,0,3,0,0,1,3,0,0,0,0,0,33.22,4,1,0,6,1,0,0
1,10,2,11,10,109.62,0.1,0,0,1,3,1,0,1,3,0,0,0,0,0,36.54,4,0,0,7,1,0,0
4,1,10,58,33,2586.98,0.1,1,1,1,13,1,0,2,8.84,0,0,0,0,2,292.57,24,13,1,34,9,0,0
1,17,1,5,5,17.41,0,1,0,0,1,1,0,0,1.5,0,0,0,0,0,11.61,2,0,0,3,0,0,0
4,7,20,134,42,8959.87,0.24,1,1,5,24,2,0,1,12.4,5,0,0,0,3,722.57,62,25,2,72,24,0,0
1,3,3,21,16,359.33,0.3,1,0,0,4,1,1,1,4.28,0,0,0,0,0,84,11,4,0,10,2,0,0
1,0,2,12,10,179.38,0.1,1,0,0,3,0,1,1,4.5,0,0,0,0,0,39.86,6,2,0,6,1,0,0
1,4,2,10,10,99.66,0.1,0,0,0,3,1,0,1,3,0,0,0,0,0,33.22,4,1,0,6,2,0,0
11,1,22,137,44,16205.41,0.25,2,0,1,35,1,2,1,21.67,2,0,1,0,4,747.94,52,18,3,85,16,1,0
4,6,12,72,25,4629.57,0.11,2,4,0,16,1,1,1,13.85,2,0,0,0,3,334.36,30,9,2,42,11,1,0
1,8,2,9,7,47.37,0.1,1,0,0,3,1,1,0,1.88,0,0,0,0,0,25.27,5,1,0,4,1,0,0
1,2,2,14,13,207.22,0.2,0,0,0,3,1,0,2,4,0,0,0,0,0,51.81,5,2,0,9,2,0,0
1,4,1,9,8,48.6,0.1,0,0,0,2,2,2,1,1.8,0,0,0,0,0,27,6,0,0,3,0,0,0
1,3,4,33,20,816.84,0.5,4,2,1,5,1,0,1,5.73,2,1,0,1,0,142.62,14,2,0,19,4,0,0
2,6,4,24,17,700.71,0.3,2,1,0,6,1,1,0,7.14,0,0,1,0,1,98.1,10,3,1,14,3,0,0
1,1,2,8,7,44.92,0.1,0,0,1,3,1,0,1,2,0,0,0,0,0,22.46,3,0,0,5,0,0,0
2,1,10,99,30,6800.95,0.16,2,2,0,12,1,5,1,14,0,0,0,0,2,485.78,56,18,1,43,23,0,0
4,12,20,134,42,8959.87,0.24,1,1,5,24,6,0,1,12.4,5,0,0,0,3,722.57,62,25,2,72,24,0,0
1,0,3,16,11,207.57,0.2,0,0,0,4,0,2,1,3.75,0,0,0,0,0,55.35,9,4,0,7,2,0,0
1,4,2,20,13,388.55,0.2,2,0,1,3,2,0,1,5.25,0,0,0,0,0,74.1,9,2,0,11,2,0,0
