@relation		textmining-train

@attribute		description		string
@attribute		isBug			{0, 1}


@data

"jstl wrapping as OSGI bundle Create an OSGi bundle for jstl",0
"aopalliance wrapping as OSGi bundle Create an OSGi bundle for the aopalliance",0
"hibernate3 wrapping Create an OSGi bundle for the hibernate3",0
"ehcache wrapping Create an OSGi bundle for the ehcache",0
"Add support for SAMLP in the plugin This task is to add support for SAMLP in the plugin The user should be able to configure either WSFederation or SAMLP",0
"Required properties inside the Configuration Handler The configuration handler does not update the component type model properly Unvalued properties are set with  and not with null",1
"commonsio 13 wrapping Create an OSGi bundle for the commonsio 13 jar",0
"commonshttpclient 301 wrapping Create an OSGi bundle for the commonshttpclient 301 jar",0
"commonsfileupload 111 wrapping Create an OSGi bundle for the commonsfileupload 111 jar",0
"commonsel 10 wrapping Create an OSGi bundle for the commonsel 10 jar",0
"commonsdigester 18 wrapping Create an OSGi bundle for the commonsdigester 18 jar",0
"commonsconfiguration 13 wrapping Create an OSGi bundle for the commonsconfiguration 13 jar",0
"commonscodec 12 wrapping Create an OSGi bundle for the commonscodec 12 jar",0
"commonsbeanutils 170 wrapping Create an OSGi bundle for the commonsbeanutils 170 jar",0
"cblib 202 wrapping Create an OSGi bundle for the cglibfull 202 jar",0
"commonslogging wrapping Create the bundles necessary to use commonslogging with Felix",0
"Synchronization problem when providing a service iPOJO Provided Service Handler has a synchronization bug when properties are updated while the service is unregistering",1
"iPOJO Arch instance name iPOJO Arch command does not display instance name but display component type",0
"Bnd version 107 available A new version for bnd is available: 00107",0
"jzlib 107 wrapping Create an OSGi bundle for the jzlib 107 jar",0
"jdbm 10 wrapping Create an OSGi bundle for the jdbm 10 jar",0
"commonslang 21 wrapping Create an OSGi bundle for the commonslang 21 jar",0
"commonscollections 32 wrapping Create an OSGi bundle for the commonscollections 32 jar",0
"antlr 276 wrapping Create an OSGi bundle for the antlr 276 jar",0
"Settercallback des not notify external handlers The component manager method settercallback does not notifies some handlers The bugs comes from a problem in a array interation ",1
"Grab the latest public OSGI companion code release and commit to repo Our OSGi interfaces are based on a snapshot before the Apache licensed code was publishedwe should grab the published version now that it is available",0
"Improve remote logger panel whith colored jtree and jtable Improve remote logger panel whith colored jtree and jtable",0
"JMX management console does not manage cycles through gateways Each time a old gateway is displayed an exception is thrown and tabs are not anymore displayed",1
"Create an MBean and a JMXConsole tab for low level operating system data This MBean enables the remote console to get data from the lowest part of the remote gateways",0
"A  graphical tab to remotely  interact with obr This MBean  Graphical couple is able to remotely install a bundle though remote obr manipulation",0
"A  graphical tab to remotely  get memory activity A tab for the jmx console that grabs information from platform MBean about memory activity on a remote gateway ",0
"Management Bundle Tab Creating a new tab in the jmx console and a new Mbean in the agent in order to manage bundles lifecycle",0
"mosgi needs a log service implementation Mosgi bundles depends on a log service implementation which is not available",1
"Implement Conditional Permission Admin See section 9 in the OSGi R4 core specification for a full description of the task",0
"Implement Permission Admin See section 10 in the OSGi R4 Service Core for a full description of the task",0
"Implement singleton bundle support Section 352 of the OSGi R4 core specification describes singleton bundles Felix does not currently support this",0
"WSFederation Metadata document published at runtime in RP pluginscore should be enhanced to generate a WSFederation Metadata document",0
"ported ServiceBinder to kXML2 ServiceBinder still uses kXML 1x for parsing metafiles The patch enabled the ServiceBinder to use kXML 222 instead ",0
"Support filelevel desigation in inlinedArtifacts Provide fine grain support for inlined artifacts where users may designate which files from a dependency jar should be unrolled into the bundle",0
"iPOJO does not support arrays or vectors in Configuration Properties iPOJO does not support arrays or vectors inside Configuration Admin property values per 10442",0
"Implement Metatype Service See section 105 in the OSGi R4 Service Compendium for a full description of the task",0
"orgosgiframeworkversion property returns 40 instead of 13 The orgosgiframeworkversion property returns 40 instead of 13 for the version The spec states it should be 13 see 443 table 8",1
"Some contribution to the Dependency manager These are some contributions regarding the new Felx Dependency Manager",0
"Implement Event Admin See section 113 in the OSGi R4 Service Compendium for a full description of the task",0
"Implement new bundle event types This issue is described in section 461 in the OSGi R4 specification There are new bundle events of type RESOLVEDUNRESOLVED and STARTINGSTOPPING that need to be fired",0
"Enable scheduler support for embedded activemq Delayed queue requires scheduler support in activemq This should be enabled for embedded activemq",1
"Implement bundle localization This issue is described in section 310 of the OSGi R4 specification The main jist is to add localization support to bundle manifest data This is a new feature that includes new API",0
"Implement Declarative Services See section 112 in the OSGi R4 Service Compendium for a full description of the task",0
